s.no,users_name,users_reviews,users_followers,creation_time,rating,review_text
34,Saagrmishra,2 Reviews,1 Follower,2018-07-03,Rated 5.0,Good Good
35,Zubair Said Khan,3 Reviews,10 Followers,2018-07-02,Rated 2.5,the chicken wooper had no sauses in the burger and was totally dry.. the crispy chicken was the same.. all dry and no taste
36,Argha Guha,2 Reviews,71 Followers,2018-07-12,Rated 5.0,"This is my first order to burger king, i ordered a chicken whopper burger. The patty was great, the buns were soft. overall it's great. love to order more."
37,Divanshu Goyal,1 Review,0 Followers,2018-07-11,Rated 1.5,worst experience i can ever have with zomato... burgers are cold even the salad inside was not fresh and rider was so slow... I want my money back i don't know what made me choode zomato
38,Pooja Vikas Sarser,4 Reviews,2 Followers,2018-07-11,Rated 5.0,best in class
39,ADITIYA GOYAL,1 Review,1 Follower,2018-07-11,Rated 1.5,very poor quality
40,Jyoti Kumar,2 Reviews,5 Followers,2018-07-10,Rated 5.0,Food was still hot and properly packed.
41,Fahad Ahmad,13 Reviews,709 Followers,2018-07-10,Rated 5.0,My favorite: Veg Whopper Combo and Potato tots
42,Kumar Divyanshu,2 Reviews,23 Followers,2018-07-09,Rated 5.0,food is too hot to handle..\ud83d\ude02\ud83d\ude02 just kidding.. it's too cold man
43,Suprima Agarwal,1 Review,1 Follower,2018-07-09,Rated 1.5,coke was not delivered
44,Tanushree Verma,3 Reviews,16 Followers,2018-07-08,Rated 3.5,Got delivered a burnt patty in the name of bk gril chicken.
45,Maorvi Gaba,1 Review,207 Followers,2018-07-08,Rated 1.5,Stale food
46,Jyoti Verma,7 Reviews,15 Followers,2018-07-17,Rated 2.5,I ordered regular french fries and in that i got only five fries.....is that a regular fries u serve. Order came after 1.5 hour
47,Pankaj Dhami,2 Reviews,0 Followers,2018-07-17,Rated 5.0,delicious meal
48,Parth Kapoor,2 Reviews,17 Followers,2018-07-16,Rated 5.0,Nice
49,Vipin.finance,1 Review,1 Follower,2018-07-16,Rated 2.5,50% of French fries packet was empty
50,Kaustubh Sankrit,4 Reviews,1 Follower,2018-07-15,Rated 1.5,delivery was very poor service
